@@@E X T R A C T@@@
Latitude,Longitude,Road Surface
39.965758,-83.035958,Asphalt
39.965763,-83.027168,Asphalt
39.965772,-83.027138,Asphalt
39.965775,-83.035807,Asphalt
39.96578,-83.03611,Asphalt
39.96578,-83.027238,Asphalt
39.965783,-83.036272,Asphalt
39.965785,-83.0361,Asphalt
39.965785,-83.0358,Asphalt
39.965788,-83.026358,Asphalt
39.965808,-83.036335,Asphalt
39.965815,-83.035997,Asphalt
39.965818,-83.035772,Asphalt
39.96583,-83.027095,Asphalt
39.965835,-83.02713,Asphalt
39.965838,-83.03627,Asphalt
39.96584,-83.036283,Asphalt
39.965857,-83.036237,Asphalt
39.965858,-83.003172,Asphalt
39.965875,-83.036312,Asphalt
39.965877,-83.03612,Asphalt
39.965882,-83.036125,Asphalt
39.965892,-83.026317,Asphalt
39.965893,-83.036443,Asphalt
39.965893,-83.036433,Asphalt
39.965898,-83.026355,Asphalt
39.965903,-83.036263,Asphalt
39.965903,-83.027162,Asphalt
39.965905,-83.036638,Asphalt
39.965913,-83.036062,Asphalt
39.965915,-83.036648,Asphalt
39.965917,-83.027095,Asphalt
39.965917,-83.027063,Asphalt
39.965938,-83.027038,Asphalt
39.965942,-83.036583,Asphalt
39.965943,-83.036592,Asphalt
39.965952,-83.026277,Asphalt
39.965957,-83.11906,Asphalt
39.96597,-83.026123,Asphalt
39.965978,-83.036447,Asphalt
39.965978,-83.036433,Asphalt
39.96598,-83.036625,Asphalt
39.965982,-83.027023,Asphalt
39.965983,-83.003193,Asphalt
39.965987,-83.020295,Asphalt
39.965988,-83.020073,Asphalt
39.96599,-83.036732,Asphalt
39.96599,-83.03653,Asphalt
39.965992,-83.036672,Asphalt
39.965993,-83.02056,Asphalt
39.965993,-83.019817,Asphalt
39.965998,-83.027027,Asphalt
39.966002,-83.020823,Asphalt
39.966003,-83.036767,Asphalt
39.966005,-83.019557,Asphalt
39.966007,-83.03634,Asphalt
39.966008,-83.020087,Asphalt
